CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_2G,ANO_IN_GRAD,IN_MATUT,IN_VESPER,IN_NOTURNO,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3
6,10002,10028,4004,MG,3,24,M,2007,2011,1,1,1,60.2,61.9,62.5,61.0,60.0,40.0,65.0,62.0,70.0,60.0,59.6,61.9,46.7,20.0,60.0,60.0
6,10002,10028,4004,MG,3,25,M,2006,2008,1,1,1,63.7,54.7,37.5,80.5,94.0,70.0,100.0,67.0,75.0,65.0,66.7,71.4,40.0,0.0,60.0,60.0
7,10002,10028,4004,SP,3,22,M,2009,2010,1,1,0,69.9,73.0,100.0,32.5,65.0,65.0,65.0,0.0,0.0,0.0,68.8,76.2,26.7,60.0,0.0,20.0
7,10002,10028,4004,SP,3,22,M,2009,2010,1,1,0,56.6,64.5,62.5,67.5,68.0,60.0,70.0,67.0,75.0,65.0,54.0,52.4,63.3,60.0,70.0,60.0
7,10002,10028,4004,SP,3,24,M,2009,2010,1,1,0,68.7,73.0,100.0,32.5,0.0,0.0,0.0,65.0,65.0,65.0,67.2,71.4,43.3,0.0,50.0,80.0
7,10002,10028,4004,SP,3,25,M,2006,2009,1,1,0,55.4,85.1,87.5,81.5,96.0,80.0,100.0,67.0,75.0,65.0,45.5,47.6,33.3,0.0,60.0,40.0
7,10002,10028,4004,SP,3,25,M,2006,2008,1,0,0,50.0,57.3,62.5,49.5,43.0,55.0,40.0,56.0,80.0,50.0,47.5,47.6,46.7,50.0,0.0,90.0
7,10002,10028,4004,SP,3,21,M,2010,2011,1,0,0,55.5,58.4,75.0,33.5,0.0,0.0,0.0,67.0,75.0,65.0,54.5,57.1,40.0,70.0,50.0,0.0
7,10002,10028,4004,SP,3,23,M,2008,2010,1,0,0,63.1,64.5,62.5,67.5,88.0,80.0,90.0,47.0,55.0,45.0,62.6,61.9,66.7,80.0,40.0,80.0
7,10002,10028,4004,SP,3,23,M,2008,2009,1,0,0,57.9,72.6,75.0,69.0,45.0,45.0,45.0,93.0,65.0,100.0,53.0,57.1,30.0,50.0,20.0,20.0
7,10002,10028,4004,SP,3,23,M,2008,2011,1,0,0,71.4,79.2,100.0,48.0,96.0,80.0,100.0,0.0,0.0,0.0,68.8,76.2,26.7,80.0,0.0,0.0
7,10002,10028,4004,SP,3,23,M,2009,2010,1,0,0,63.3,83.4,75.0,96.0,96.0,80.0,100.0,96.0,80.0,100.0,56.6,61.9,26.7,40.0,20.0,20.0
7,10002,10028,4004,SP,3,22,M,2009,2010,1,0,0,68.1,83.1,87.5,76.5,58.0,90.0,50.0,95.0,75.0,100.0,63.1,61.9,70.0,70.0,60.0,80.0
7,10002,10028,4004,SP,3,29,F,2002,2008,1,0,0,37.4,85.8,100.0,64.5,55.0,75.0,50.0,74.0,50.0,80.0,21.2,23.8,6.7,0.0,0.0,20.0
